时间,水温,pH,电导率,浊度,溶解氧,高锰酸盐指数,总磷,氨氮
01/01/2011 00:00:00,12.8,6.96,96,34,6.35,1.52,0.061,0.025
01/01/2011 03:00:00,12.3,6.92,97,23,5.78,1.38,0.054,0.025
01/01/2011 06:00:00,12,6.92,97,20,5.73,1.32,0.051,0.025
01/01/2011 09:00:00,11.6,6.95,97,19,5.97,4.4,0.163,0.53
01/01/2011 12:00:00,11.8,7.06,97,87,7.27,2.14,0.091,0.25
01/01/2011 15:00:00,11.9,6.99,98,54,6.36,1.56,0.062,0.06
01/01/2011 18:00:00,12,6.94,98,43,6.29,3.86,0.132,0.37
01/01/2011 21:00:00,11.6,7.02,102,44,7.11,2.07,0.07,0.11
01/02/2011 00:00:00,11.2,6.97,99,27,6.42,1.68,0.057,0.025
01/02/2011 03:00:00,11,6.95,100,23,6.17,1.61,0.051,0.025
01/02/2011 06:00:00,10.9,6.95,100,20,6.22,1.43,0.048,0.025
01/02/2011 09:00:00,10.3,6.98,102,19,6.49,4.2,0.174,0.52
01/02/2011 12:00:00,11,7.02,97,50,7.69,1.81,0.091,0.28
01/02/2011 15:00:00,12.4,7.06,95,53,7.37,1.82,0.087,0.3
01/02/2011 18:00:00,13.4,6.93,94,82,5.6,1.26,0.065,0.07
01/02/2011 21:00:00,13.1,6.89,94,52,5.25,2.7,0.128,0.46
01/03/2011 00:00:00,12.8,7,93,112,6.68,1.5,0.076,0.13
01/03/2011 03:00:00,12.7,6.91,93,49,5.83,1.32,0.061,0.025
01/03/2011 06:00:00,12.1,6.89,96,27,5.62,1.36,0.054,0.025
01/03/2011 09:00:00,11.4,6.91,94,19,5.78,1.28,0.051,0.025
01/03/2011 12:00:00,11.3,7.05,92,88,7.69,2.24,0.117,0.28
01/03/2011 15:00:00,10.9,6.97,91,55,7.14,1.64,0.075,0.08
01/03/2011 18:00:00,10.2,6.93,92,28,6.78,3.23,0.142,0.43
01/03/2011 21:00:00,10,7.07,93,49,7.57,1.94,0.079,0.17
01/04/2011 00:00:00,10,6.98,93,30,6.77,3.52,0.123,0.46
01/04/2011 03:00:00,9.9,7.01,98,33,5.84,2.36,0.076,0.17
01/04/2011 06:00:00,9.8,6.9,96,23,4.69,2.04,0.065,0.025
01/04/2011 09:00:00,9.5,6.85,94,19,4.2,1.8,0.056,0.025
01/04/2011 12:00:00,9.4,7.05,94,67,8.06,1.89,0.088,0.22
01/04/2011 15:00:00,9.9,6.97,95,33,7.25,1.55,0.062,0.08
01/04/2011 18:00:00,10.3,6.93,95,27,6.7,3.14,0.125,0.3
01/04/2011 21:00:00,10.2,7.02,98,36,7.6,2.69,0.111,0.34
01/05/2011 00:00:00,,7.02,98,36,7.55,1.71,0.069,0.08
01/05/2011 03:00:00,10.3,6.95,99,24,,1.54,0.054,0.025
01/05/2011 06:00:00,10.3,6.93,99,23,6.57,1.34,0.047,0.025
01/05/2011 09:00:00,10.1,6.94,99,19,6.64,2.87,0.132,0.42
01/05/2011 12:00:00,10.3,7.02,95,41,7.65,3.12,0.136,0.48
01/05/2011 15:00:00,10.7,7.13,101,40,8.48,2.55,0.073,0.35
01/05/2011 18:00:00,10.9,7,99,29,6.94,1.77,0.057,0.11
01/05/2011 21:00:00,10.7,7.1,103,46,7.95,2.93,0.092,0.26
01/06/2011 00:00:00,10.7,6.99,102,29,6.72,2.87,0.103,0.35
01/06/2011 03:00:00,10.5,7.02,95,29,7.16,1.85,0.065,0.11
01/06/2011 06:00:00,10.2,6.94,98,23,6.27,1.38,0.057,0.025
01/06/2011 09:00:00,9.9,6.91,98,20,6,1.39,0.048,0.025
01/06/2011 12:00:00,9.7,7.06,96,58,7.93,2.37,0.116,0.33
01/06/2011 15:00:00,9.6,6.99,97,35,7.2,1.51,0.073,0.13
01/06/2011 18:00:00,9.6,6.94,99,46,6.29,1.34,0.063,0.025
01/06/2011 21:00:00,9.2,6.9,97,23,6.31,1.23,0.052,0.025
01/07/2011 00:00:00,9,6.91,97,20,6.4,2.66,0.136,0.39
01/07/2011 03:00:00,8.9,6.99,101,38,7.8,1.5,0.079,0.15
01/07/2011 06:00:00,8.8,6.93,102,29,7.19,1.33,0.062,0.025
01/07/2011 09:00:00,8.8,6.9,102,24,6.87,1.08,0.054,0.025
01/07/2011 12:00:00,9.1,6.91,102,,6.89,1.85,0.111,0.36
01/07/2011 15:00:00,9.6,7,103,35,7.6,1.31,0.075,0.11
01/07/2011 18:00:00,9.9,6.93,103,27,6.83,1.13,0.065,0.025
01/07/2011 21:00:00,9.5,6.91,104,6,6.54,2.63,0.105,0.41
01/08/2011 00:00:00,9,7.1,102,68,8.16,2.55,0.09,0.56
01/08/2011 03:00:00,8.8,6.99,105,34,7.71,1.91,0.061,0.25
01/08/2011 06:00:00,8.7,6.91,106,26,6.88,1.69,0.05,0.06
01/08/2011 09:00:00,8.6,6.87,107,24,6.4,3.09,0.12,0.59
01/08/2011 12:00:00,9,7.02,103,38,8.18,1.58,0.077,0.31
01/08/2011 15:00:00,10.6,6.94,103,28,7.03,1.27,0.06,0.09
01/08/2011 18:00:00,11.4,6.9,105,25,6.15,1.27,0.054,0.025
01/08/2011 21:00:00,11.1,7.03,103,38,7.55,0.94,0.078,0.24
01/09/2011 00:00:00,11.1,6.93,104,26,6.51,1.27,0.057,0.06
01/09/2011 03:00:00,11.1,6.88,103,21,5.91,1.24,0.05,0.025
01/09/2011 06:00:00,11.3,6.88,103,19,5.76,1.19,0.048,0.025
01/09/2011 09:00:00,11.4,6.89,103,18,5.99,2.61,0.126,0.45
01/09/2011 12:00:00,11.9,6.98,102,37,6.99,1.26,0.067,0.12
01/09/2011 15:00:00,13.1,6.9,102,27,5.71,1.96,0.105,0.35
01/09/2011 18:00:00,12.8,6.97,102,30,6.45,1.28,0.057,0.08
01/09/2011 21:00:00,12.4,6.91,102,26,5.71,2.04,0.106,0.34
01/10/2011 00:00:00,12.2,6.98,103,34,6.89,1.36,0.062,0.08
01/10/2011 03:00:00,12,6.92,103,26,6.31,1.29,0.051,0.025
01/10/2011 06:00:00,11.8,6.9,103,21,6.13,0.98,0.048,0.025
01/10/2011 09:00:00,11.8,6.92,106,18,6.2,0.93,0.046,0.025
01/10/2011 12:00:00,11.9,7.06,98,53,7.53,1.5,0.091,0.24
01/10/2011 15:00:00,13.2,6.96,100,28,6.66,1.16,0.062,0.06
01/10/2011 18:00:00,13.1,6.93,104,23,6.17,3.65,0.052,0.025
01/10/2011 21:00:00,12.6,7.05,99,44,7.42,4.31,0.078,0.17
01/11/2011 00:00:00,12.4,7.08,97,44,7.56,4.34,0.075,0.21
01/11/2011 03:00:00,12,6.96,98,26,6.66,3.9,0.054,0.025
01/11/2011 06:00:00,11.4,6.92,102,22,6.37,3.52,0.048,0.025
01/11/2011 09:00:00,10.8,6.93,99,20,6.31,5.04,0.142,0.45
01/11/2011 12:00:00,10.3,7.04,94,39,7.6,5.04,,0.19
01/11/2011 15:00:00,9.7,6.97,96,32,7.21,2.29,0.097,0.025
01/11/2011 18:00:00,9.8,7.05,94,70,7.92,2.82,0.115,0.025
01/11/2011 21:00:00,9.3,6.96,97,36,7.61,2.92,0.124,0.025
01/12/2011 00:00:00,9,6.99,96,40,8.08,2.33,0.074,0.19
01/12/2011 03:00:00,8.8,6.93,98,29,7.5,1.94,0.065,0.06
01/12/2011 06:00:00,8.5,6.9,98,28,7.25,2.12,0.056,0.025
01/12/2011 09:00:00,8,6.91,98,22,7.23,1.82,0.051,0.025
01/12/2011 12:00:00,8.2,7.04,95,59,9.01,2.61,0.125,0.29
01/12/2011 15:00:00,10.2,6.96,96,37,7.87,2.07,0.082,0.09
01/12/2011 18:00:00,11.4,6.93,97,27,7.02,3.24,0.115,0.24
01/12/2011 21:00:00,10.5,6.98,97,34,7.36,2.55,0.077,0.08
01/13/2011 00:00:00,9.7,7.04,91,57,7.7,3.52,0.109,0.24
01/13/2011 03:00:00,9.1,6.96,94,33,7.64,2.73,0.069,0.05
01/13/2011 06:00:00,8.7,6.92,97,27,7.49,2.59,0.062,0.025
01/13/2011 09:00:00,8.4,6.92,98,27,7.53,3.91,0.176,0.33
01/13/2011 12:00:00,8.5,7.01,94,57,8.64,2.79,0.1,0.11
01/13/2011 15:00:00,9.6,6.94,95,35,8.01,2.58,0.073,0.025
01/13/2011 18:00:00,9.6,7.02,96,56,8.71,3.33,0.103,0.16
01/13/2011 21:00:00,9.7,7.05,97,44,8.38,2.95,0.09,0.16
01/14/2011 00:00:00,9.7,6.95,97,27,7.27,2.72,0.064,0.05
01/14/2011 03:00:00,9.7,6.93,99,24,6.8,2.33,0.056,0.025
01/14/2011 06:00:00,9.7,6.91,97,22,6.67,2.22,0.051,0.025
01/14/2011 09:00:00,9.6,6.95,97,21,6.85,4.68,0.138,0.38
01/14/2011 12:00:00,10,6.99,98,47,8.02,2.9,0.081,0.14
01/14/2011 15:00:00,11.4,6.94,97,31,6.7,2.54,0.057,0.025
01/14/2011 18:00:00,12,6.91,96,25,5.95,2.32,0.048,0.025
01/14/2011 21:00:00,11.9,7.01,100,50,7.81,4.65,0.098,0.37
01/15/2011 00:00:00,11.9,7,99,29,6.77,3.27,0.062,0.11
01/15/2011 03:00:00,11.8,6.92,99,,5.97,3.27,0.047,0.025
01/15/2011 06:00:00,11.4,6.88,101,24,5.56,2.65,0.04,0.025
01/15/2011 09:00:00,11,6.89,99,21,5.57,4.97,0.115,0.37
01/15/2011 12:00:00,10.9,6.99,96,47,7.85,3.23,0.072,0.11
01/15/2011 15:00:00,10.8,6.95,97,30,7.16,2.67,0.053,0.025
01/15/2011 18:00:00,11,6.91,97,25,6.75,4.39,0.136,0.29
01/15/2011 21:00:00,10.7,6.99,95,41,7.27,2.87,,0.07
01/16/2011 00:00:00,9.9,6.91,96,34,6.72,3.82,0.136,0.33
01/16/2011 03:00:00,9.2,7,93,43,7.93,2.83,0.079,0.09
01/16/2011 06:00:00,8.4,6.92,92,32,7.68,2.45,0.065,0.025
01/16/2011 09:00:00,7.7,6.89,95,27,7.48,4.46,0.245,0.41
01/16/2011 12:00:00,8.2,6.94,89,76,8.27,2.97,0.112,0.26
01/16/2011 15:00:00,9.6,6.91,91,37,7.49,2.56,0.074,0.07
01/16/2011 18:00:00,10.4,6.9,93,29,6.92,3.79,0.106,0.25
01/16/2011 21:00:00,9.7,6.97,96,39,7.57,4.33,0.133,0.38
01/17/2011 00:00:00,9.1,7,93,49,8.27,2.96,0.084,0.13
01/17/2011 03:00:00,8.6,6.91,95,31,7.97,2.79,0.064,0.025
01/17/2011 06:00:00,8.2,6.88,96,26,7.75,2.68,0.057,0.025
01/17/2011 09:00:00,7.7,6.86,97,23,7.78,2.51,0.047,0.025
01/17/2011 12:00:00,8.5,6.98,100,40,7.59,2.97,0.087,0.39
01/17/2011 15:00:00,10.2,6.9,95,30,5.76,2.57,0.068,0.13
01/17/2011 18:00:00,10.5,6.86,95,23,4.91,3.5,0.081,0.59
01/17/2011 21:00:00,10.2,6.96,97,33,6.54,3.78,0.139,0.43
01/18/2011 00:00:00,9.9,7,93,46,7.97,2.71,0.076,0.14
01/18/2011 03:00:00,9.7,6.9,94,28,7.34,2.38,0.058,0.025
01/18/2011 06:00:00,9.6,6.87,95,24,6.99,2.37,0.053,0.025
01/18/2011 09:00:00,9.5,6.87,95,22,6.99,3.44,0.138,0.36
01/18/2011 12:00:00,9.7,6.95,94,43,8.11,2.55,0.084,0.1
01/18/2011 15:00:00,10.3,6.91,95,30,7.36,2.31,0.064,0.025
01/18/2011 18:00:00,10.8,7,98,71,8.28,2.99,0.104,0.14
01/18/2011 21:00:00,10.7,6.91,98,37,7.33,2.42,0.071,0.025
01/19/2011 00:00:00,10.7,6.88,99,27,6.86,3.2,0.122,0.13
01/19/2011 03:00:00,10.8,6.9,98,37,7.64,2.48,0.069,0.025
01/19/2011 06:00:00,10.7,6.88,100,29,7.21,2.35,0.06,0.025
01/19/2011 09:00:00,10.5,6.87,99,24,6.97,2.33,0.052,0.025
01/19/2011 12:00:00,10.6,6.93,97,46,8.04,2.78,0.09,0.13
01/19/2011 15:00:00,10.9,6.88,97,27,7.24,3.62,0.142,0.32
01/19/2011 18:00:00,11.1,6.93,101,45,7.79,3.82,0.119,0.31
01/19/2011 21:00:00,10.9,6.95,103,33,7.45,3.06,0.07,0.08
01/20/2011 00:00:00,10.8,6.89,101,27,6.65,3.91,0.123,0.28
01/20/2011 03:00:00,10.8,6.92,99,43,7.63,2.94,0.075,0.07
01/20/2011 06:00:00,10.7,6.87,100,29,6.93,2.57,0.054,0.025
01/20/2011 09:00:00,10.5,6.84,101,21,6.64,2.38,0.05,0.025
01/20/2011 12:00:00,10.7,6.84,101,21,6.56,2.37,0.042,0.025
01/20/2011 15:00:00,10.7,6.89,97,55,7.74,3.3,0.098,0.12
01/20/2011 18:00:00,10.6,6.84,98,34,7.12,2.63,0.063,0.12
01/20/2011 21:00:00,10.2,6.81,99,24,6.73,3.93,0.126,0.26
01/21/2011 00:00:00,9.9,6.86,97,48,7.76,2.89,0.077,0.07
01/21/2011 03:00:00,9.7,6.81,98,31,7.29,2.93,0.058,0.025
01/21/2011 06:00:00,9.4,6.78,99,28,7.02,2.7,0.048,0.025
01/21/2011 09:00:00,9,6.78,99,21,7.02,3.87,0.145,0.25
01/21/2011 12:00:00,8.9,6.84,98,47,7.93,3.07,0.091,0.08
01/21/2011 15:00:00,9,6.8,101,33,7.33,2.7,0.065,0.025
01/21/2011 18:00:00,9,6.77,99,28,7.1,2.71,0.054,0.025
01/21/2011 21:00:00,8.8,6.78,99,25,7.08,2.53,0.049,0.025
01/22/2011 00:00:00,8.7,6.79,99,21,7.2,4.1,0.155,0.18
01/22/2011 03:00:00,8.7,6.78,99,49,8.3,3.24,,0.025
01/22/2011 06:00:00,8.6,6.77,99,35,7.87,2.88,0.155,0.025
01/22/2011 09:00:00,8.4,6.75,99,27,7.63,4.52,0.155,0.23
01/22/2011 12:00:00,8.5,6.77,100,48,8.27,4.24,0.135,0.28
01/22/2011 15:00:00,9.3,6.75,100,52,8.24,2.57,0.076,0.1
01/22/2011 18:00:00,12.8,6.73,95,29,5.51,3.12,0.056,0.025
01/22/2011 21:00:00,10.3,6.71,98,25,6.53,4.33,0.131,0.28
01/23/2011 00:00:00,9.9,6.75,96,51,7.94,3.18,0.071,0.08
01/23/2011 03:00:00,9.8,6.7,97,32,7.24,2.92,0.056,0.025
01/23/2011 06:00:00,9.7,6.68,97,22,6.9,2.5,0.046,0.025
01/23/2011 09:00:00,9.6,6.67,97,23,6.83,4.23,0.153,0.33
01/23/2011 12:00:00,9.7,6.72,96,61,8.18,3.09,0.084,0.12
01/23/2011 15:00:00,10.1,6.69,96,30,7.24,2.82,0.058,0.025
01/23/2011 18:00:00,10.4,6.66,96,25,6.73,3.8,0.113,0.35
01/23/2011 21:00:00,10.3,6.73,101,41,6.47,4.28,0.116,0.26
01/24/2011 00:00:00,10.2,6.69,102,37,7.33,3.41,0.067,0.06
01/24/2011 03:00:00,10.1,6.67,102,27,6.66,2.95,0.052,0.025
01/24/2011 06:00:00,9.9,6.63,100,21,6.27,2.82,0.044,0.025
01/24/2011 09:00:00,9.7,6.63,102,26,6.25,4.26,0.126,0.26
01/24/2011 12:00:00,9.7,6.68,97,53,8.14,3.24,0.071,0.1
01/24/2011 15:00:00,10,6.64,98,28,7.45,2.62,0.051,0.025
01/24/2011 18:00:00,10.2,6.68,97,63,8.07,3.21,0.082,0.11
01/24/2011 21:00:00,10,6.63,97,32,7.12,2.96,0.056,0.025
01/25/2011 00:00:00,9.9,6.67,97,59,8.06,3.6,0.076,0.13
01/25/2011 03:00:00,9.9,6.64,98,31,7.25,3.09,0.052,0.025
01/25/2011 06:00:00,9.7,6.6,98,21,6.74,2.69,0.041,0.025
01/25/2011 09:00:00,9.6,6.6,99,20,6.67,4.22,0.112,0.37
01/25/2011 12:00:00,9.6,6.63,98,44,7.92,3.28,0.07,0.14
01/25/2011 15:00:00,9.6,6.63,98,54,8.17,3.25,0.077,0.2
01/25/2011 18:00:00,9.6,6.58,98,26,7.1,3.05,0.056,0.05
01/25/2011 21:00:00,9.5,6.54,98,23,6.54,2.96,0.048,0.025
01/26/2011 00:00:00,9.4,6.54,98,20,6.4,2.91,0.042,0.025
01/26/2011 03:00:00,9.4,6.59,99,64,8.27,3.36,0.089,0.2
01/26/2011 06:00:00,9.4,6.54,100,29,7.19,3.07,0.057,0.06
01/26/2011 09:00:00,9.3,6.53,101,21,6.42,2.83,0.047,0.025
01/26/2011 12:00:00,9.4,6.5,100,21,6.22,4.77,0.149,0.45
01/26/2011 15:00:00,9.6,6.59,102,50,8.17,3.46,0.078,0.23
01/26/2011 18:00:00,9.7,6.51,102,28,6.67,4.45,0.102,0.45
01/26/2011 21:00:00,9.5,6.55,104,35,7.31,3.65,0.063,0.22
01/27/2011 00:00:00,9.5,6.49,103,25,5.98,3.32,0.05,0.06
01/27/2011 03:00:00,9.6,6.46,103,22,5.26,3.06,0.043,0.025
01/27/2011 06:00:00,9.6,6.46,103,19,5.09,3.05,0.041,0.025
01/27/2011 09:00:00,9.5,6.47,103,15,5.3,4.68,0.14,0.45
01/27/2011 12:00:00,9.7,6.56,102,48,8.06,3.4,0.08,0.2
01/27/2011 15:00:00,10.3,6.51,102,25,6.52,3,0.06,0.025
01/27/2011 18:00:00,10.6,6.57,101,67,8.03,3.89,0.091,0.21
01/27/2011 21:00:00,10.5,6.58,97,57,8.19,3.93,0.091,0.21
01/28/2011 00:00:00,10.5,6.49,99,27,6.81,3.47,0.06,0.025
01/28/2011 03:00:00,10.5,6.46,99,22,6.13,3.25,0.053,0.025
01/28/2011 06:00:00,10.5,6.47,99,19,5.87,3.05,0.049,0.025
01/28/2011 09:00:00,10.4,6.47,99,,5.95,3.75,0.11,0.2
01/28/2011 12:00:00,10.4,6.49,96,32,7.42,3.13,0.063,0.06
01/28/2011 15:00:00,10.6,6.47,97,24,6.71,2.98,0.054,0.025
01/28/2011 18:00:00,10.5,6.47,97,21,6.41,2.82,0.051,0.025
01/28/2011 21:00:00,10.2,6.48,97,19,6.37,4.62,0.133,0.34
01/29/2011 00:00:00,9.9,6.55,99,45,8.06,3.43,0.074,0.12
01/29/2011 03:00:00,9.7,6.5,99,26,7.21,3.02,0.052,0.025
01/29/2011 06:00:00,9.3,6.49,100,22,6.85,3.04,0.048,0.025
01/29/2011 09:00:00,9,6.48,100,19,6.8,4.62,0.137,0.33
01/29/2011 12:00:00,9.2,6.54,102,40,8.14,3.53,0.078,0.12
01/29/2011 15:00:00,9.4,6.51,102,23,7.28,3.21,0.056,0.025
01/29/2011 18:00:00,9.1,6.5,102,21,6.93,5.24,0.146,0.31
01/29/2011 21:00:00,9,6.56,104,42,7.83,3.87,0.075,0.09
01/30/2011 00:00:00,8.8,6.52,103,28,7.14,4.73,0.125,0.34
01/30/2011 03:00:00,8.3,6.54,102,40,8.11,3.52,0.067,0.1
01/30/2011 06:00:00,7.8,6.49,102,26,7.53,3.24,0.056,0.025
01/30/2011 09:00:00,7.4,6.47,102,21,7.26,3.18,0.053,0.025
01/30/2011 12:00:00,8,6.55,102,58,8.92,3.65,0.094,0.24
01/30/2011 15:00:00,8.7,6.55,101,26,7.66,3.2,0.066,0.07
01/30/2011 18:00:00,8.5,6.52,101,23,7.13,2.91,0.059,0.025
01/30/2011 21:00:00,8.4,6.59,103,48,8.87,3.68,0.081,0.19
01/31/2011 00:00:00,8.3,6.54,103,28,7.97,3.28,0.063,0.19
01/31/2011 03:00:00,8.1,6.52,106,24,7.38,4,0.104,0.29
01/31/2011 06:00:00,8,6.57,102,33,8.07,3.43,0.067,0.09
01/31/2011 09:00:00,7.4,6.51,101,25,7.48,3.64,0.098,0.32
01/31/2011 12:00:00,8.1,6.53,98,29,8.18,3.01,0.066,0.13
01/31/2011 15:00:00,9.7,6.52,98,22,7.07,2.82,0.057,0.025
01/31/2011 18:00:00,9.9,6.53,99,20,6.77,2.76,0.051,0.025
01/31/2011 21:00:00,9.8,6.61,104,41,8.27,3.46,0.076,0.13
02/01/2011 00:00:00,9.8,6.57,103,27,7.27,3.11,0.059,0.025
02/01/2011 03:00:00,9.8,6.56,103,23,6.74,3.03,0.057,0.025
02/01/2011 06:00:00,9.7,6.54,103,20,6.45,2.95,0.05,0.025
02/01/2011 09:00:00,9.5,6.55,102,18,6.51,2.9,0.047,0.25
02/01/2011 12:00:00,9.6,6.61,101,39,7.86,3.44,0.092,0.22
02/01/2011 15:00:00,9.9,6.59,101,26,6.88,3.23,0.06,0.05
02/01/2011 18:00:00,10,6.57,102,22,6.29,3.07,0.057,0.025
02/01/2011 21:00:00,9.8,6.65,101,76,8.14,4.23,0.113,0.25
02/02/2011 00:00:00,9.7,6.62,102,32,7.46,3.52,0.067,0.05
02/02/2011 03:00:00,9.6,6.59,102,25,6.88,3.3,0.059,0.025
02/02/2011 06:00:00,9.4,6.57,102,21,6.54,3.19,0.051,0.025
02/02/2011 09:00:00,9.2,6.58,102,19,6.55,4.72,0.135,0.38
02/02/2011 12:00:00,9.4,6.67,102,45,8.24,3.7,0.085,0.15
02/02/2011 15:00:00,10,6.67,102,57,8.37,4.1,0.091,0.23
02/02/2011 18:00:00,10.7,6.63,101,27,6.98,5.03,0.129,0.46
02/02/2011 21:00:00,10.3,6.72,105,34,7.95,3.9,0.078,0.16
02/03/2011 00:00:00,9.7,6.7,105,25,7.16,3.57,0.063,0.05
02/03/2011 03:00:00,9.4,6.65,105,21,6.52,3.47,0.056,0.025
02/03/2011 06:00:00,8.9,6.64,105,18,6.32,3.36,0.052,0.025
02/03/2011 09:00:00,8.4,6.7,101,46,8.29,4.18,0.09,0.21
02/03/2011 12:00:00,8.6,6.68,102,29,7.78,4.92,0.141,0.41
02/03/2011 15:00:00,10.3,6.72,99,39,8.01,3.49,0.078,0.15
02/03/2011 18:00:00,12.1,6.71,98,28,6.58,3.33,0.064,0.025
02/03/2011 21:00:00,11.6,6.75,97,50,7.46,4.11,0.098,0.2
02/04/2011 00:00:00,11.2,6.71,98,25,6.98,3.49,0.066,0.06
02/04/2011 03:00:00,11,6.68,99,22,6.44,3.33,0.06,0.025
02/04/2011 06:00:00,10.6,6.67,99,19,6.27,3.3,0.057,0.025
02/04/2011 09:00:00,10.4,6.67,99,17,6.22,3.13,0.056,0.025
02/04/2011 12:00:00,10.6,6.78,97,46,8.02,3.62,0.079,0.14
02/04/2011 15:00:00,12.7,6.76,96,26,6.88,3.09,0.064,0.05
02/04/2011 18:00:00,14.5,6.73,98,20,5.81,4.7,0.13,0.36
02/04/2011 21:00:00,14,6.75,103,37,6.27,3.58,0.077,0.07
02/05/2011 00:00:00,13.4,6.8,95,46,7.12,3.98,0.093,0.19
02/05/2011 03:00:00,13,6.75,98,26,6.71,3.3,0.062,0.025
02/05/2011 06:00:00,12.5,6.74,99,20,6.31,3.2,0.058,0.025
02/05/2011 09:00:00,12.1,6.72,100,19,6.12,4.04,0.103,0.29
02/05/2011 12:00:00,12.2,6.8,96,30,7.38,3.27,0.069,0.09
02/05/2011 15:00:00,14.5,6.76,96,21,6.22,3.09,0.061,0.025
02/05/2011 18:00:00,16.3,6.75,95,19,5.35,3.13,0.059,0.025
02/05/2011 21:00:00,15.6,6.71,97,18,5.3,2.97,0.06,0.025
02/06/2011 00:00:00,15,6.74,98,17,5.56,2.99,0.058,0.025
02/06/2011 03:00:00,14.4,6.75,98,16,5.75,5.03,0.132,0.26
02/06/2011 06:00:00,13.9,6.79,97,33,6.7,3.85,0.085,0.08
02/06/2011 09:00:00,13.4,6.74,99,24,6.17,5.35,0.138,0.42
02/06/2011 12:00:00,13.9,6.82,95,39,7.16,3.82,0.074,0.11
02/06/2011 15:00:00,16.1,6.77,96,22,5.92,3.38,0.06,0.05
02/06/2011 18:00:00,18,6.78,98,38,6.12,4.18,0.086,0.11
02/06/2011 21:00:00,17.2,6.74,98,21,4.94,3.62,0.064,0.025
02/07/2011 00:00:00,16.4,6.81,91,35,6.51,4.35,0.079,0.17
02/07/2011 03:00:00,16,6.76,94,20,5.96,3.55,0.059,0.025
02/07/2011 06:00:00,15.3,6.73,96,18,5.5,3.43,0.057,0.025
02/07/2011 09:00:00,14.6,6.72,97,16,5.24,3.31,0.054,0.025
02/07/2011 12:00:00,15.2,6.83,90,34,6.88,3.62,0.075,0.19
02/07/2011 15:00:00,17.3,6.77,90,21,5.81,3.22,0.058,0.06
02/07/2011 18:00:00,19,6.73,90,18,4.98,4.02,0.092,0.25
02/07/2011 21:00:00,18.2,6.77,92,24,5.69,3.37,0.063,0.06
02/08/2011 00:00:00,17.6,6.7,92,19,4.63,5.36,0.13,0.47
02/08/2011 03:00:00,17.2,6.72,90,27,5.76,3.82,0.077,0.15
02/08/2011 06:00:00,16.9,6.63,93,19,4.26,3.47,0.06,0.025
02/08/2011 09:00:00,16.5,6.61,94,17,3.81,4.12,0.115,0.39
02/08/2011 12:00:00,17.2,6.77,85,28,6.35,3.1,0.068,0.13
02/08/2011 15:00:00,19.7,6.72,85,19,5.05,2.78,0.06,0.06
02/08/2011 18:00:00,21,6.68,86,18,4.19,4.31,0.104,0.25
02/08/2011 21:00:00,20.1,6.75,88,24,5.4,4.46,0.099,0.29
02/09/2011 00:00:00,19.3,6.81,85,24,6.22,4.65,0.098,0.36
02/09/2011 03:00:00,18.7,6.78,82,23,5.88,3.33,0.062,0.08
02/09/2011 06:00:00,17.9,6.72,85,18,5.16,3.09,0.057,0.025
02/09/2011 09:00:00,17.2,6.68,86,17,4.69,2.97,0.054,0.025
02/09/2011 12:00:00,17.6,6.65,86,,4.23,3.59,0.084,0.21
02/09/2011 15:00:00,18.8,6.74,82,22,6.32,3.03,0.067,0.06
02/09/2011 18:00:00,19.5,6.71,83,19,5.42,2.94,0.063,0.025
02/09/2011 21:00:00,19.4,6.68,84,17,4.75,3.02,0.063,0.025
02/10/2011 00:00:00,18.8,6.67,84,17,4.53,4.66,0.124,0.4
02/10/2011 03:00:00,18.4,6.75,83,27,6.17,3.47,0.069,0.1
02/10/2011 06:00:00,17.9,6.69,85,24,5.31,3.24,0.063,0.025
02/10/2011 09:00:00,17.6,6.68,85,17,4.78,3.05,0.058,0.025
02/10/2011 12:00:00,17.8,6.78,84,33,6.71,3.81,0.077,0.16
02/10/2011 15:00:00,18,6.72,86,20,5.68,3.38,0.061,0.05
02/10/2011 18:00:00,18,6.67,87,17,4.82,3.29,0.058,0.025
02/10/2011 21:00:00,17.4,6.66,87,16,4.45,4.75,0.084,0.23
02/11/2011 00:00:00,16.8,6.76,88,21,6.03,3.83,0.057,0.06
02/11/2011 03:00:00,16,6.72,90,19,5.43,3.51,0.053,0.025
02/11/2011 06:00:00,15.5,6.69,90,17,5,3.39,0.053,0.025
02/11/2011 09:00:00,15,6.67,91,16,4.8,3.34,0.055,0.025
02/11/2011 12:00:00,14.7,6.75,84,35,7.15,3.84,0.069,0.18
02/11/2011 15:00:00,14.6,6.71,86,21,6.52,3.23,0.058,0.025
02/11/2011 18:00:00,14.2,6.68,88,18,6.1,3.16,0.057,0.025
02/11/2011 21:00:00,13.5,6.74,84,30,7.59,3.62,0.074,0.12
02/12/2011 00:00:00,13,6.7,86,22,7.03,4.67,0.108,0.32
02/12/2011 03:00:00,12.8,6.7,83,27,7.5,3.46,0.062,0.09
02/12/2011 06:00:00,12.2,6.67,84,21,6.99,3.26,0.056,0.025
02/12/2011 09:00:00,11.5,6.64,85,18,6.52,3.06,0.051,0.025
02/12/2011 12:00:00,12,6.67,82,37,8.19,3.33,0.079,0.17
02/12/2011 15:00:00,13,6.65,83,23,7.22,3.04,0.059,0.07
02/12/2011 18:00:00,14,6.6,84,18,6.26,4.08,0.106,0.24
